method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
+Grid,373.26975000000004,84.33265180937222,0.22592951025196178,288.9370981906278,0.7740704897480382,227,8.537162162162161,977,mixed-s0-t000,mixed,0,0,2025-07-16T16:00:00,2.941155525040813,10969,29
DRL,373.26975000000004,26.081198831918023,0.06987225413234804,347.18855116808203,0.930127745867652,71,35.29608938547486,962,mixed-s0-t000,mixed,0,0,2025-07-16T16:00:00,3.1691177639877424,10969,328
DuJo,373.26975000000004,124.6645262708447,0.33397971914639396,248.60522372915534,0.666020280853606,322,18.2475442043222,961,mixed-s0-t000,mixed,0,0,2025-07-16T16:00:00,225.05587240995374,10969,316
MRate,373.26975000000004,113.61683582294148,0.30438265041016976,259.65291417705856,0.6956173495898302,293,5.593220338983051,970,mixed-s0-t000,mixed,0,0,2025-07-16T16:00:00,2.853240779018961,10969,375
SaTE,373.26975000000004,113.61683582294148,0.30438265041016976,259.65291417705856,0.6956173495898302,293,5.593220338983051,970,mixed-s0-t000,mixed,0,0,2025-07-16T16:00:00,3.0156528189545497,10969,375
+Grid,370.38626000000005,80.40198025309357,0.21707603368735534,289.9842797469065,0.7829239663126447,220,30.265267175572518,969,mixed-s0-t030,mixed,0,30,2025-07-16T16:30:00,3.0443040219834074,10927,33
DRL,370.38626000000005,24.467757985456288,0.06606011244978764,345.9185020145438,0.9339398875502124,67,39.60538116591928,967,mixed-s0-t030,mixed,0,30,2025-07-16T16:30:00,3.261598828015849,10927,321
DuJo,370.38626000000005,129.3850357010789,0.349324609668509,241.00122429892116,0.650675390331491,331,14.809628008752735,970,mixed-s0-t030,mixed,0,30,2025-07-16T16:30:00,239.59629083995242,10927,335
MRate,370.38626000000005,114.52412068374662,0.30920186046789805,255.86213931625343,0.690798139532102,298,17.854354354354353,973,mixed-s0-t030,mixed,0,30,2025-07-16T16:30:00,2.9835530660348013,10927,382
SaTE,370.38626000000005,114.52412068374662,0.30920186046789805,255.86213931625343,0.690798139532102,298,17.854354354354353,973,mixed-s0-t030,mixed,0,30,2025-07-16T16:30:00,3.144517181091942,10927,382
+Grid,372.59019000000006,77.21675151754509,0.20724311479468924,295.37343848245496,0.7927568852053107,211,18.084745762711865,972,mixed-s0-t060,mixed,0,60,2025-07-16T17:00:00,2.6841727340361103,10876,23
DRL,372.59019000000006,22.491813846565357,0.06036609242601195,350.0983761534347,0.939633907573988,62,18.07894736842105,962,mixed-s0-t060,mixed,0,60,2025-07-16T17:00:00,3.0102035390445963,10876,343
DuJo,372.59019000000006,136.5734806834511,0.36655146686350243,236.01670931654897,0.6334485331364976,352,23.557536466774717,972,mixed-s0-t060,mixed,0,60,2025-07-16T17:00:00,234.93485694902483,10876,349
MRate,372.59019000000006,104.91302725581804,0.281577534974332,267.67716274418206,0.7184224650256681,271,20.146864686468646,976,mixed-s0-t060,mixed,0,60,2025-07-16T17:00:00,3.1198510910617188,10876,391
